# Ukrainian stress overrides for espeak-ng (appended to uk_list, then compiled into
# uk_dict by scripts/build_espeak_stress.py and used by Piper via PIPER_ESPEAK_DATA).
#
# WHY: espeak's uk rules guess lexical stress and get some words wrong. Nothing in the
# *text* fed to Piper can fix it — U+0301 accents are ignored, and [[phoneme]] blocks are
# read literally (both verified on the box). An espeak pronunciation dictionary is the
# only override that flows through Piper's phonemizer.
#
# FORMAT (espeak _list): one entry per line, `word<TAB>phonemes`. In the phoneme string a
# leading apostrophe marks the PRIMARY-stressed syllable. Lower-case the word. Confirm a
# new entry's phonemes with:  espeak-ng -v uk -q --ipa "[[<phonemes>]]"
# Add a word here ONLY after hearing espeak stress it wrong — a needless entry can make a
# currently-correct word wrong. Re-run build_espeak_stress.py after editing.
#
# Mnemonics (the safe subset — these render identically under espeak 1.51's data and the
# master/Piper bundle): vowels o a e u i, и = I; ж = Z, ш = S, ч = tS, х = x, г = h.
# Avoid the palatalisation mark `;` except after t — `s;` renders as ʂ in the master
# table but sʲ in 1.51, so it is NOT portable. Where espeak's own rules already drop a ь
# (восьмого → v'osmoho), keep its consonants and move only the stress.
#
# Only inflected forms the bot actually SAYS are listed — Ukrainian stress is per-form
# (показни́к is right, but пока́зники is not), so each form needs its own entry.
#
# word      phonemes (’ = primary stress)
подано	p'odano
баланс	bal'ans
чіпав	tSip'av
# зберігати-family: espeak says «зберІгаю», стрес має бути на -га- (зберіга́ю).
зберігаю	zberih'aju
зберігаєш	zberih'ajeS
зберігає	zberih'aje
зберігаємо	zberih'ajemo
зберігати	zberih'atI

# --- лічильники / показники -------------------------------------------------
# показни́к espeak reads right, but every oblique form it stem-stresses: «покАзники»,
# «покАзника», «показнИків» → показники́, показника́, показникі́в.
показника	pokaznIk'a
показники	pokaznIk'I
показників	pokaznik'iv
# Mirror image: espeak says «лічильнИк»/«лічильнИків» → лічи́льник, лічи́льників
# (it gets лічи́льника/лічи́льники right on its own — no entry for those).
лічильник	litS'IlnIk
лічильників	litS'IlnIkiv
# espeak: «спожИвання» → спожива́ння. (Воно ж каже «спожи́то» правильно — не чіпаємо.)
споживання	spoZIv'annja

# --- комуналка: провайдери, платежі, гроші ----------------------------------
# espeak: «вОда»/«вОди» → вода́/води́ (акузатив «во́ду» воно вже каже правильно).
вода	vod'a
води	vod'I
# espeak: «жИтло»/«жИтлом» → житло́/житло́м (множину «жи́тлах» воно каже правильно).
житло	ZItl'o
житлом	ZItl'om
число	tSIsl'o
# espeak: «рахунОк» → раху́нок (раху́нку/раху́нки/раху́нках воно каже правильно).
рахунок	rax'unok
